index,title,research_type,result_outcome,affiliation,problem_description,goal/objective,research_method,research_question,hypothesis,prediction,contribution,pseudocode,open_source_code,open_experiment_code,train,validation,test,results,hardware_specification,software_dependencies,third_party_citation,experiment_setup,evaluation_criteria,authors,link,comments,conference
82,Allocating Indivisible Items in Categorized Domains,T,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,Erika Mackin and Lirong Xia,http://www.ijcai.org/Proceedings/16/Papers/058.pdf,,IJCAI 16
83,Improving Top-N Recommendation with Heterogeneous Loss,E,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,Feipeng Zhao and Yuhong Guo,http://www.ijcai.org/Proceedings/16/Papers/339.pdf,,IJCAI 16
84,Max-Margin DeepWalk: Discriminative Learning of Network Representation,E,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,"Cunchao Tu, Weicheng Zhang, Zhiyuan Liu and Maosong Sun",http://www.ijcai.org/Proceedings/16/Papers/547.pdf,,IJCAI 16
85,Moving in a Crowd: Safe and Efficient Navigation among Heterogeneous Agents,E,1,0,1,0,0,0,0,0,1,1,0,0,,,0,0,0,0,0,1,1,"Julio Godoy, Ioannis Karamouzas, Stephen Guy and Maria Gini",http://www.ijcai.org/Proceedings/16/Papers/049.pdf,,IJCAI 16
86,Bridging LSTM Architecture and the Neural Dynamics during Reading,E,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"Peng Qian, Xipeng Qiu and Xuanjing Huang",http://www.ijcai.org/Proceedings/16/Papers/279.pdf,,IJCAI 16
87,Automated Synthesis of Timed Failure Propagation Graphs,E,1,0,0,1,0,0,0,0,0,1,1,0,,,1,0,1,1,1,0,0,"Automated Synthesis of Timed Failure Propagation Graphs Benjamin Bittner, Marco Bozzano and Alessandro Cimatti",http://www.ijcai.org/Proceedings/16/Papers/142.pdf,,IJCAI 16
88,Contextual Symmetries in Probabilistic Graphical Models,E,1,0,0,1,0,0,0,0,1,0,1,1,,,1,1,0,0,1,1,0,"Ankit Anand, Aditya Grover, Mausam, and Parag Singla",http://www.ijcai.org/Proceedings/16/Papers/502.pdf,,IJCAI 16
89,Learning by Actively Querying Strong Modal Features,E,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"Yang Yang, De-Chuan Zhan, Yuan Jiang",http://www.ijcai.org/Proceedings/16/Papers/325.pdf,,IJCAI 16
90,A Polynomial Time Optimal Algorithm for Robot-Human Search under Uncertainty,E,1,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,1,"Shaofei Chen, Tim Baarslag, Dengji Zhao, Jing Chen and Lincheng Shen",http://www.ijcai.org/Proceedings/16/Papers/121.pdf,,IJCAI 16
91,Truncating Shortest Path Search for Efficient Map-matching,E,1,2,1,1,0,0,0,0,1,0,0,0,,,1,0,1,1,1,1,1,"Takashi Imamichi, Takayuki Osogami and Rudy Raymond",http://www.ijcai.org/Proceedings/16/Papers/090.pdf,,IJCAI 16
92,Incorporating Prototype Theory in Convolutional Neural Networks,E,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,"Babak Saleh, Ahmed Elgammal and Jacob Feldman",http://www.ijcai.org/Proceedings/16/Papers/487.pdf,,IJCAI 16
93,Conditional and Sequential Approval Voting on Combinatorial Domains,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,Nathanaël Barrot and Jérôme Lang,http://www.ijcai.org/Proceedings/16/Papers/020.pdf,,IJCAI 16
94,"Robust Natural Language Processing — Combining Reasoning, Cognitive Semantics, and Construction Grammar for Spatial Language",E,1,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,1,"Michael Spranger, Jakob Suchan and Mehul Bhatt",http://www.ijcai.org/Proceedings/16/Papers/413.pdf,,IJCAI 16
95,Online Multi-object Tracking by Quadratic Pseudo-Boolean Optimization,E,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,"Long Lan, Dacheng Tao, Chen Gong, Naiyang Guan and Zhigang Luo",http://www.ijcai.org/Proceedings/16/Papers/480.pdf,,IJCAI 16
96,Learning Multi-Modal Grounded Linguistic Semantics by Playing “I Spy”,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"Jesse Thomason, Jivko Sinapov, Max Svetlik, Peter Stone and Raymond Mooney",http://www.ijcai.org/Proceedings/16/Papers/491.pdf,,IJCAI 16
97,Exploring Segment Representations for Neural Segmentation Models,E,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,"Yijia Liu, Wanxiang Che and Jiang Guo",http://www.ijcai.org/Proceedings/16/Papers/409.pdf,,IJCAI 16
98,How to Build Your Network? A Structural Analysis,E,1,0,1,0,0,0,0,0,1,1,0,0,,,0,0,0,0,1,0,0,Anastasia Moskvina and Jiamou Liu,http://www.ijcai.org/Proceedings/16/Papers/369.pdf,,IJCAI 16
99,Detecting Rumors from Microblogs with Recurrent Neural Networks,E,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"Jing Ma, Wei Gao, Prasenjit Mitra, Sejeong Kwon, Bernard J. Jansen, Kam-Fai Wong and Meeyoung Cha",http://www.ijcai.org/Proceedings/16/Papers/537.pdf,,IJCAI 16
100,A Characterization of Voting Power for Discrete Weight Distributions,T,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,"Yoram Bachrach, Yuval Filmus, Joel Oren and Yair Zick",http://www.ijcai.org/Proceedings/16/Papers/018.pdf,,IJCAI 16
101,Learning Community-based Preferences via Dirichlet Process Mixtures of Gaussian Processes,E,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,"Ehsan Abbasnejad, Scott Sanner, Edwin V. Bonilla, Pascal Poupart",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6766/6791,,IJCAI 13
102,Efficient Interdependent Value Combinatorial Auctions with Single-Minded Bidders,T,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,"Valentin Robu, David Parkes, Takayuki Ito, Nick Jennings",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6575/6557,,IJCAI 13
103,Mining for Analogous Tuples from an Entity-Relation Graph,E,1,0,0,0,0,0,0,0,1,1,0,0,,,1,0,1,0,1,1,1,"Danushka Bollegala, Mitsuru Kushimoto, Yuichi Yoshida, Ken-ichi Kawarabayashi",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6620/7004,,IJCAI 13
104,Advanced Conflict-Driven Disjunctive Answer Set Solving,E,1,0,0,0,0,0,0,0,0,0,1,0,,,1,0,1,0,1,0,0,"Martin Gebser, Benjamin Kaufmann, Torsten Schaub",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6835/6731,,IJCAI 13
105,Misleading Opinions Provided by Advisors: Dishonesty or Subjectivity,E,1,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,1,"Hui Fang, Yang Bao, Jie Zhang",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6567/6993,,IJCAI 13
106,Sparse Reconstruction for Weakly Supervised Semantic Segmentation,E,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,"Ke Zhang, Wei Zhang, Yingbin Zheng, Xiangyang Xue",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6990/6980,,IJCAI 13
107,Measuring Statistical Dependence via the Mutual Information Dimension,E,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,"Mahito Sugiyama, Karsten Borgwardt",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6844/6952,,IJCAI 13
108,Predicting the Size of Depth-First Branch and Bound Search Trees,E,1,0,0,0,0,0,0,0,1,1,0,0,,,0,0,0,0,1,0,1,"Levi Lelis, Lars Otten, Rina Dechter",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6723/6640,,IJCAI 13
109,On Robust Estimation of High Dimensional Generalized Linear Models,T,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,"Eunho Yang, Ambuj Tewari, Pradeep Ravikumar",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6828/6972,,IJCAI 13
110,Efficiently Solving Joint Activity Based Security Games,E,1,0,1,0,0,0,0,0,1,1,0,0,,,0,0,0,0,0,0,0,"Eric Shieh, Manish Jain, Albert Xin Jiang, Milind Tambe",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6298/6560,,IJCAI 13
111,Detecting and Tracking Disease Outbreaks by Mining Social Media Data,T,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,"Yusheng Xie, Zhengzhang Chen, Yu Cheng, Kunpeng Zhang, Ankit Agrawal, Wei-keng Liao, Alok Choudhary",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6560/7198,,IJCAI 13
112,Optimal Airline Ticket Purchasing Using Automated User-Guided Feature Selection,E,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"William Groves, Maria Gini",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/7000/6503,,IJCAI 13
113,Efficient Learning in Linearly Solvable MDP Models,E,1,0,1,0,0,0,0,0,0,1,0,0,,,0,0,0,0,1,1,0,"Ang Li, Paul Schrater",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6530/6531,,IJCAI 13
114,Answer Set Programming Modulo Theories and Reasoning about Continuous Changes,E,1,0,0,0,0,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,"Joohyung Lee, Yunsong Meng",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6895/6757,,IJCAI 13
115,Double-Wheel Graphs Are Graceful,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"Ronan Le Bras, Carla Gomes, Bart Selman",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6973/6638,,IJCAI 13
116,Improved Bin Completion for Optimal Bin Packing and Number Partitioning,E,1,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,1,1,1,"Ethan Schreiber, Richard Korf",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6851/6656,,IJCAI 13
117,Rolling Dispersion for Robot Teams,E,1,0,0,0,0,0,0,0,1,1,0,0,,,1,0,0,0,1,1,0,"Elizabeth Jensen, Maria Gini",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6980/7074,,IJCAI 13
118,Coupled Attribute Analysis on Numerical Data,E,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,"Can Wang, Zhong She, longbing cao",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6868/6958,,IJCAI 13
119,Parametric Local Multimodal Hashing for Cross-view Similarity Search,E,1,0,1,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,1,1,1,"Deming Zhai, Hong Chang, Yi Zhen, Xianming Liu, Wen Gao",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6728/7141,,IJCAI 13
120,A Cutoff Technique for the Verification of Parameterised Interpreted Systems with Parameterised Environments,E,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,"Panagiotis Kouvaros, Alessio Lomuscio",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6919/6997,,IJCAI 13
121,Robust Unsupervised Feature Selection,E,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,"Mingjie Qian, Chengxiang Zhai",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6494/6942,,IJCAI 13
122,Defender (Mis)coordination in Security Games,E,1,0,0,1,0,1,0,0,1,0,0,0,,,0,0,0,0,1,1,0,"Albert Xin Jiang, Ariel Procaccia, Yundi Qian, Nisarg Shah, Milind Tambe",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6748/6522,,IJCAI 13
123,A Hidden Markov Model-Based Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,E,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,"Davide Zilli, Oliver Parson, Geoff V Merrett, Alex Rogers",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6756/7190,,IJCAI 13
124,A Lossy Counting Based Approach for Learning on Streams of Graphs on a Budget,E,1,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,1,1,"Giovanni Da San Martino, Nicolò Navarin, Alessandro Sperduti",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6699/6896,,IJCAI 13
125,Action-Model Acquisition from Noisy Plan Traces,E,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Rao Kambhampati,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6873/7066,,IJCAI 13
126,First-Order Rewritability of Atomic Queries in Horn Description Logics,T,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,"Meghyn Bienvenu, Carsten Lutz, Frank Wolter",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6907/6688,,IJCAI 13
127,Automatically Generating Problems and Solutions for Natural Deduction,E,1,1,0,0,0,0,0,0,1,1,0,0,,,0,0,0,0,0,1,0,"Umair Ahmed, Sumit Gulwani, Amey Karkare",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6960/6991,,IJCAI 13
128,One-Class Conditional Random Fields for Sequential Anomaly Detection,E,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,"Yale Song, Zhen Wen, Ching-Yung Lin, Randall Davis",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6579/6951,,IJCAI 13
129,Linear Temporal Logic and Linear Dynamic Logic on Finite Traces,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"Giuseppe De Giacomo, Moshe Vardi",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6997/6719,,IJCAI 13
130,Partial-Tree Linearization: Generalized Word Ordering for Text Synthesis,E,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,Yue Zhang,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6314/7028,,IJCAI 13
131,Adaptive error-correcting output codes,E,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Guoqiang Zhong, Mohamed Cheriet",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6554/6986,,IJCAI 13
132,Agent Failures in All-Pay Auctions,T,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,"Yoad Lewenberg, Omer Lev, Yoram Bachrach, Jeffrey Rosenschein",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6607/6530,,IJCAI 13
133,Cyclic Causal Models with Discrete Variables: Markov Chain Equilibrium Semantics and Sample Ordering,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"David Poole, Mark Crowley",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6667/6770,,IJCAI 13
134,Integrating Syntactic and Semantic Analysis into the Open Information Extraction Paradigm,E,1,0,1,0,0,0,0,0,1,1,0,0,,,1,0,0,0,0,0,1,"Andrea Moro, Roberto Navigli",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6837/7016,,IJCAI 13
135,Nonconvex Relaxation Approaches to Robust Matrix Recovery,E,1,0,1,0,0,0,0,0,1,1,0,0,,,0,0,0,0,1,1,0,"Shusen Wang, Dehua Liu, Zhihua Zhang",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6541/6962,,IJCAI 13
136,Audience-Based Uncertainty in Abstract Argument Games,T,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,"Davide Grossi, Wiebe van der Hoek",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6506/6501,,IJCAI 13
137,Implicit learning of common sense for reasoning,T,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,Brendan Juba,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6612/6738,,IJCAI 13
138,Deep Feature Learning using Target Priors with Applications in ECoG Signal Decoding for BCI,E,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zuoguan Wang, Siwei Lyu, Qiang Ji",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6680/6965,,IJCAI 13
139,Active Learning for Level Set Estimation,E,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,"Alkis Gotovos, Nathalie Casati, Gregory Hitz, Andreas Krause",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6707/6903,,IJCAI 13
140,Computing Upper Bounds on Lengths of Transition Sequences,E,1,1,0,0,0,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,"Jussi Rintanen, Charles Orgill Gretton",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6992/7049,,IJCAI 13
141,Euler Clustering,E,1,0,0,0,0,0,0,0,1,1,0,0,,,1,0,1,0,0,1,1,"Jian-sheng Wu, Wei-Shi Zheng, Jian-huang Lai",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6617/6966,,IJCAI 13
142,Exchanging OWL 2 QL Knowledge Bases,T,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,"Marcelo Arenas, Elena Botoeva, Diego Calvanese, Vladislav Ryzhikov",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6939/6674,,IJCAI 13
143,Isomorph-free branch and bound search for finite state controllers,E,1,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,"Marek Grzes, Pascal Poupart, Jesse Hoey",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6954/7395,,IJCAI 13
144,On Condensing a Sequence of Updates in Answer-Set Programming,T,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,"Martin Slota, Joao Leite",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6763/6775,,IJCAI 13
145,Parameter Learning for Latent Network Diffusion,E,1,0,1,0,0,0,0,0,1,0,0,0,,,1,0,0,0,1,1,1,"Xiaojian Wu, Akshat Kumar, Daniel Sheldon, Shlomo Zilberstein",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6843/7185,,IJCAI 13
146,Just-In-Time Compilation of Knowledge Bases,E,1,0,0,0,0,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,"Laurent Simon, Gilles Audemard, Jean-Marie Lagniez",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6754/6600,,IJCAI 13
147,Learning Canonical Correlations of Paired Tensor Sets via Tensor-to-Vector Projection,E,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,Haiping Lu,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6764/6927,,IJCAI 13
148,Accurate Probability Calibration for Multiple Classifiers,E,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,"Leon Wenliang Zhong, James Kwok",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6690/6987,,IJCAI 13
149,Online Egocentric Models for Citation networks,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Hao Wang, Wu-Jun Li",http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewPDFInterstitial/6994/7134,,IJCAI 13
150,Reasoning about Normative Update,T,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6884/6463,,IJCAI 13
151,Undecidability in Epistemic Planning,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6903/6466,,IJCAI 13
152,Maximal Recursive Rule: A New Social Decision Scheme,T,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6528/6468,,IJCAI 13
153,Audit Games,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6951/6472,,IJCAI 13
154,Externalities in Cake Cutting,T,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6945/6476,,IJCAI 13
155,Are There Any Nicely Structured Preference Profiles Nearby?,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6643/6478,,IJCAI 13
156,Kemeny Elections with Bounded Single-Peaked or Single-Crossing Width,T,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6944/6482,,IJCAI 13
157,Control in the Presence of Manipulators: Cooperative and Competitive Cases,T,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6663/6492,,IJCAI 13
158,A Matroid Approach to the Worst Case Allocation of Indivisible Goods,T,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6693/6499,,IJCAI 13
159,Sequential Equilibrium in Computational Games,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6823/6509,,IJCAI 13
160,A Social Welfare Optimal Sequential Allocation Procedure,T,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6876/6525,,IJCAI 13
161,An Ambiguity Aversion Framework of Security Games under Ambiguities,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6850/6537,,IJCAI 13
162,Control Complexity of Schulze Voting,T,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6962/6542,,IJCAI 13
163,A Proof-Theoretical View of Collective Rationality,T,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6827/6551,,IJCAI 13
164,Fully Proportional Representation as Resource Allocation: Approximability Results,T,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6881/6562,,IJCAI 13
165,Endogenous Boolean Games,T,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI13/paper/viewFile/6249/6572,,IJCAI 13
